110,160,24.83
110,170,23.51
110,180,20.98
110,190,20.81
110,200,19.95
120,10,100.00
120,20,100.00
120,30,100.00
120,40,96.17
120,50,77.67
120,60,65.83
120,70,57.48
120,80,49.54
120,90,44.41
120,100,40.17
120,110,34.85
120,120,32.89
120,130,30.15
120,140,27.43
120,150,26.31
120,160,23.92
120,170,21.90
120,180,21.22
120,190,20.37
120,200,20.07
130,10,100.00
130,20,100.00
130,30,100.00
130,40,93.25
130,50,78.40
130,60,65.39
130,70,55.52
130,80,49.79
130,90,43.37
130,100,39.33
130,110,35.61
130,120,31.14
130,130,30.38
130,140,26.60
130,150,24.60
130,160,23.27
130,170,22.80
130,180,21.41
130,190,19.81
130,200,19.08
140,10,100.00
140,20,100.00
140,30,100.00
140,40,89.50
140,50,76.87
140,60,63.11
140,70,52.48
140,80,46.62
140,90,42.19
140,100,38.27
140,110,34.58
140,120,31.89
140,130,29.15
140,140,27.62
140,150,25.80
140,160,23.46
140,170,22.92
140,180,21.61
140,190,20.53
140,200,19.50
150,10,100.00
150,20,100.00
150,30,100.00
150,40,91.00
150,50,76.13
150,60,62.56
150,70,54.57
150,80,47.12
150,90,42.44
150,100,37.40
150,110,34.39
150,120,30.78
150,130,28.51
150,140,25.17
150,150,24.69
150,160,23.40
150,170,22.37
150,180,21.26
150,190,19.74
150,200,18.35
160,10,100.00
160,20,100.00
160,30,100.00
160,40,91.08
160,50,75.13
160,60,61.44
160,70,53.52
160,80,46.50
160,90,42.04
160,100,36.97
160,110,33.67
160,120,30.89
160,130,29.33
160,140,27.07
160,150,25.78
160,160,22.96
160,170,21.78
160,180,20.35
160,190,19.32
160,200,18.53
170,10,100.00
170,20,100.00
170,30,100.00
170,40,89.42
170,50,74.80
170,60,60.78
170,70,52.67
170,80,47.12
170,90,40.56
170,100,36.80
170,110,33.39
170,120,30.31
170,130,28.23
170,140,26.64
170,150,24.29
170,160,22.81
170,170,21.98
170,180,19.89
170,190,18.39
170,200,17.43
180,10,100.00
180,20,100.00
180,30,99.78
180,40,89.42
180,50,72.40
180,60,61.06
